doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
0;28.03.24 06:00;It's a big day for more than 165,000 New York City marathon hopefuls as they wait to hear if their application for this year's race has been successful! 🗽 <br><br>Will we be seeing you in Central Park in November? 🤞 #NYCMarathon;;image showing …;152;27;14;Abbott WMMajors;WMMajors;Your World. Run It.;https://pbs.twimg.com/profile_images/1433066652820807680/pNm4FhMM_400x400.png;42900;0;0;;A;1
1;28.03.24 17:24;Anyone else anxiously checking their NYRR and bank accounts to see if they got in the @nycmarathon? Awaiting my 9th straight lottery rejection but somehow deluding myself THIS is the year. #NYCMarathon;;image showing …;33;1;5;Dr. Jaclyn Cravens Pickens 🌵;JackiePhDinlove;Associate Professor at Texas Tech University, Couple & Family Therapy, Technology & Relationship Researcher, Marathon Runner, Sports Enthusiast, TTU & ECU Alum;https://pbs.twimg.com/profile_images/1722377242708156416/KKVeHPsn_400x400.jpg;1096;0;0;;A;2
2;28.03.24 08:20;Not a good day for me to be talking about running shoes.  #nycmarathon #tcsnycmarathon;;image showing …;4;1;0;Daniel Barchi;DanielJBarchi;CIO at CommonSpirit Health | Digital leader focused on frictionless care and quality patient outcomes | US Navy |  New York City | Runner;;2748;0;0;;A;3
3;28.03.24 10:26;Hey @nyrr, maybe try a different pic for your rejection email than a guy pointing and laughing at us. Just sayin'.  #NYCMarathon #IHateNick;https://pbs.twimg.com/media/GJyZ57OWkAAbm_F?format=jpg&name=large;image showing …;3;1;0;Ryan Lefler;TheRyanLefler;Just a guy with an unhealthy obsession for Boston Sports, Running and Disney. Assistant Field Superintendent for the Worcester Red Sox.;https://pbs.twimg.com/profile_images/1482559570568437764/qSmwJLBk_400x400.jpg;509;0;0;;A;4
4;28.03.24 09:29;I’m in! Can’t even begin to describe how excited I am! Can’t wait to head to the Big Apple in November. #NYCMarathon;;image showing …;3;0;1;Zak 🇺🇸;ZakMeents;;https://pbs.twimg.com/profile_images/1720679937336606720/MMghAKwM_400x400.jpg;173;0;0;;A;10
5;28.03.24 09:29;I hope @nycmarathon picks me today.  Hitting refresh every 30 seconds!<br><br><br>#nycmarathon #marathon #uesrunclub #running;;image showing …;3;0;0;Off The Cover;OffTheCoverYT;Wanting to change cinema for the better. All Hail the Fellowship!  Join me dear viewer!;https://pbs.twimg.com/profile_images/1565723687856267268/4yhEnFw2_400x400.jpg;32;0;0;;A;6
6;29.03.24 19:52;I may not have gotten into the NYC Marathon via the lottery, but I am honored to announce that I am running with Book Fairies to help childhood literacy. Any donation helps. Thank you! #nyrr #nycmarathon;;image showing …;0;0;0;Alexis (Taylor’s Version);lexis8685;Member of #thetorturedpoetsdepartment Lawyer by day (and night). Manifesting a TN notice. 🕯️#seniorswifties;https://pbs.twimg.com/profile_images/1754349125758304256/Z8gk1LCM_400x400.jpg;186;0;0;;A;7
7;28.03.24 16:36;The NORD #Running4Rare team is back for a 9th season as an Official Charity Partner in the 2024 #TCSNYCMarathon!<br><br>Spots fill quickly. Apply today to run this iconic race with one of the best teams on the course + fundraise for #RareDiseases! https://nycmarathon.org<br><br>#NYCMarathon;https://pbs.twimg.com/media/GJxJy49XUAEfYLP?format=jpg&name=large;image showing …;8;3;0;NORD;RareDiseases;National Organization for Rare Disorders (#NORD) is the voice of the #RareDisease community. Official US sponsor of #RareDiseaseDay.;https://pbs.twimg.com/profile_images/1487095722705133573/Vb3Oo2MX_400x400.jpg;40800;0;0;;A;8
8;24.03.24 16:00;Have a break, have a KitKat®! 🍫;;image showing …;110;21;11;KITKAT;KITKAT;A tasty treat with your tweet! 🍫 #HaveABreak;https://pbs.twimg.com/profile_images/1578295128409743360/HWPqt1hy_400x400.jpg;491900;0;1;;A;5
9;29.03.24 13:52;N🏃‍♂️Y🗽C🏅 #nycmarathon #letsgo;;image showing …;1;0;0;Drew G;Grizzly14;You look familiar, you must get that a lot;https://pbs.twimg.com/profile_images/1226664165277827074/3kScvK89_400x400.jpg;51;0;0;;A;9
10;22.03.24 19:32;We've got spots on #TEAMDEBRA for:<br>🦋 Flying Pig Marathon #RunFlyingPig<br>🦋 TD 5 Boro Bike Tour #TDFBBT<br>🦋 BMW #BerlinMarathon<br>🦋 Medtronic Twin Cities Marathon #TwinCitiesinMotion<br>🦋 Irish Life #DublinMarathon<br>🦋 TCS #NYCMarathon<br>Claim your bib: https://pulse.ly/ghnmdbivuk;https://pbs.twimg.com/media/GJS6QxWWIAAv4at?format=jpg&name=large;image showing …;0;0;0;Test;testlv71;;https://pbs.twimg.com/profile_images/1575242558212608006/wbasX04Y_400x400.jpg;1;0;0;;A;11
11;28.03.24 20:52;I just watched #BrittanyRunsAMarathon and i cried the whole time.<br><br>Not only because I worked on it as a background actor as an “elite runner” (and did I have some notes for production that day!) but because running the #NYCmarathon is so incredibly special and what she goes through is so common and we who love running and love the sport absolutely can be overwhelming but once you get over hating us for being a skinny bitch whom is perceived to have a perfect life you find out that no one’s life is as perfect as it seems and taking responsibility is a beautiful thing and quite frankly all we ever want to do in the name of the love of the sport is to help you be better #StrongLooksDifferentOnEveryone ;;image showing …;46;2;7;Aysha 💋 MBS, Stem Cell Biologist 💕🇺🇸🧬🥇;ModelAyshaMirza;#MuslimModelsMatter💋 Model 🩺#FutureMD 🙏🏼 @PublicHealth: COVID 🧠🎓 Runner🥇National Champion 🇺🇸❤️ WR Holder 👑#StrongLooksDifferentOnEveryone™️ Views own;https://pbs.twimg.com/profile_images/1573668891078926337/oyZUuQ7f_400x400.jpg;10500;0;0;;A;12
12;17.03.24 12:45;Great day for a Half Marathon New Yorkers! ⁦ @nycmarathon ⁩ #nyc #stpatricksday #marathon #nycmarathon #centralpark ⁦@CentralParkNYC;https://pbs.twimg.com/media/GI3rcPyWcAAqUq2?format=jpg&name=large;image showing …;3;0;0;Melissa Armo;MelissaArmo;CEO & Founder The Stock Swoosh | Stock Market Expert | TV Commentator on #Markets #Stocks #Money #Finance #Politics;https://pbs.twimg.com/profile_images/1012721941503987712/_CcGRtQW_400x400.jpg;1213;0;0;;A;13
13;05.03.24 10:37;Throw back NYC marathon heading to the starting line at Staten Island it was freezing 🥶<br><br>Mrs Doubtfire comes to mind 🤣<br><br>#nycmarathon #newyorkcitymarathon #newyorkmarathon;;image showing …;0;0;0;Garrett Peers;garrett_peers;Property Entrepreneur: Property Investor,Property Development, JV Partnerships , Passionate Learner.;https://pbs.twimg.com/profile_images/1413433368021065731/930Py0_m_400x400.jpg;211;0;0;;A;14
14;04.03.24 10:37;"Past November I participated in the 2023 New York City Marathon, this year’s one being the 52nd edition. <br><br>
It was awe-inspiring to be part of an international community of over 50 000 runners, from over 150 countries. 
<br><br>
#NYCMarathon #GlobalRunnersCommunity";https://pbs.twimg.com/media/F-UjgobWgAAqViZ?format=jpg&name=medium;image showing …;486;40;34;David Masondo, PhD;DrDavidMasondo;"Deputy Minister of Finance | PIC Board Chair | ANC NEC Member and Founding 
@ORTamboSchool
 Principal | Political Economy | PhD Alumni: New York University (USA)";https://pbs.twimg.com/profile_images/1744976475319648256/xrpLMOM0_400x400.jpg;7198;0;0;;A;15
15;04.03.24 12:37;Throwback to when my oura ring suggested I have a restful day. I PR’d my marathon instead. 🤷🏽‍♀️. Apparently I’m not good at following directions.  #NYCMarathon;https://pbs.twimg.com/media/F-Nk_8iXcAA-nEf?format=jpg&name=medium;image showing …;44;1;5;Jessica B. Lee;lawgirl821;"Chair, Privacy, Security & Data Innovations 
@Loeb_LoebLLP
 | Runner, Traveler, Plant Killer | Privacy + Adtech + Nonsense | Tweets = mine | On Post 
@jessicablee";https://pbs.twimg.com/profile_images/1074700647008739330/R5CrmDdN_400x400.jpg;2682;0;0;;A;16
16;17.03.24 12:37;It’s a marathon not a sprint🚀 I love you New York #NYCMarathon;;image showing …;23;0;1;Eugenía Davies;HOLLYWOOD9711;▪️vita bella▫️UTampa Alumni ΣK 🇮🇹 Promix Nutrition TOUROCOM ‘26;https://pbs.twimg.com/profile_images/1688193285842444289/DB66z5Wj_400x400.jpg;790;0;0;;A;17
